Year Folder,Year,File Name,Original Path,Destination Path,File Size (KB)
2015-20251203T200803Z-1-001,2015,1079297_10K_2015_0001213900-15-006060.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2015-20251203T200803Z-1-001\2015\1079297_10K_2015_0001213900-15-006060.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2015-20251203T200803Z-1-001\2015\1079297_10K_2015_0001213900-15-006060.json,21.84
2015-20251203T200803Z-1-001,2015,1412100_10K_2015_0001412100-16-000132.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2015-20251203T200803Z-1-001\2015\1412100_10K_2015_0001412100-16-000132.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2015-20251203T200803Z-1-001\2015\1412100_10K_2015_0001412100-16-000132.json,116.59
2015-20251203T200803Z-1-001,2015,840489_10K_2015_0000840489-16-000076.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2015-20251203T200803Z-1-001\2015\840489_10K_2015_0000840489-16-000076.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2015-20251203T200803Z-1-001\2015\840489_10K_2015_0000840489-16-000076.json,66.75
2015-20251203T200803Z-1-001,2015,1228454_10K_2015_0001228454-16-000016.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2015-20251203T200803Z-1-001\2015\1228454_10K_2015_0001228454-16-000016.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2015-20251203T200803Z-1-001\2015\1228454_10K_2015_0001228454-16-000016.json,39.72
2018-20251215T195447Z-1-001,2018,1598014_10K_2018_0001598014-19-000017.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2018-20251215T195447Z-1-001\2018\1598014_10K_2018_0001598014-19-000017.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2018-20251215T195447Z-1-001\2018\1598014_10K_2018_0001598014-19-000017.json,129.15
2018-20251215T195447Z-1-001,2018,1368458_10K_2018_0001564590-18-029551.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2018-20251215T195447Z-1-001\2018\1368458_10K_2018_0001564590-18-029551.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2018-20251215T195447Z-1-001\2018\1368458_10K_2018_0001564590-18-029551.json,66.39
2018-20251215T195447Z-1-001,2018,1605607_10K_2018_0001564590-19-002868.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2018-20251215T195447Z-1-001\2018\1605607_10K_2018_0001564590-19-002868.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2018-20251215T195447Z-1-001\2018\1605607_10K_2018_0001564590-19-002868.json,93.56
2018-20251215T195447Z-1-001,2018,1130166_10K_2018_0001144204-19-016652.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2018-20251215T195447Z-1-001\2018\1130166_10K_2018_0001144204-19-016652.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2018-20251215T195447Z-1-001\2018\1130166_10K_2018_0001144204-19-016652.json,72.61
2018-20251215T195447Z-1-001,2018,55242_10K_2018_0000055242-18-000025.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2018-20251215T195447Z-1-001\2018\55242_10K_2018_0000055242-18-000025.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2018-20251215T195447Z-1-001\2018\55242_10K_2018_0000055242-18-000025.json,71.1
2019-20251215T193740Z-1-001,2019,855874_10K_2019_0001628280-20-002934.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2019-20251215T193740Z-1-001\2019\855874_10K_2019_0001628280-20-002934.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2019-20251215T193740Z-1-001\2019\855874_10K_2019_0001628280-20-002934.json,113.9
